lat	lon	NAME	POP_MAX	POP_MIN
41.903282179960115	12.453386544971766	Vatican City	832	832
43.936095834768004	12.441770157800141	San Marino	29579	29000
47.133723774293571	9.516669472907267	Vaduz	36281	5342
-26.466667461352472	31.19999710971274	Lobamba	9782	4557
49.611660379121076	6.130002806227083	Luxembourg	107260	76684
6.916643696007725	158.149974323762308	Palikir	4645	4645
7.103004311216239	171.380000175746545	Majuro	25400	20500
-8.516651999041073	179.216647094028872	Funafuti	4749	4749
7.487396172977981	134.626548466992176	Melekeok	7026	7026
26.119166685993378	-9.652522218250112	Bir Lehlou	500	200
43.739645687852487	7.406913173465057	Monaco	36371	36371
1.338187505624603	173.017570828549424	Tarawa	28802	22534
-11.704157695668471	43.240244098693324	Moroni	128698	42872
42.500001443545898	1.51648596050552	Andorra	53998	22256
10.651997089577264	-61.517030885449742	Port-of-Spain	294934	49031
-1.95164421006325	30.058585919064114	Kigali	860000	745261
-26.316650778409212	31.133334512056365	Mbabane	90138	76218
4.829975198277964	31.580025592787308	Juba	111975	111975
52.080036843974881	4.269961302313448	The Hague	1406000	501725
46.055288308794502	14.514969033474131	Ljubljana	314807	255115
48.150018329961711	17.11698075223461	Bratislava	423737	373687
25.286556008906587	51.532967894299304	Doha	1450000	731310
42.465972512881706	19.266306924118226	Podgorica	145850	136473
6.900003884809621	79.949993040897482	Sri Jawewardenepura Kotte	115826	115826
16.429990660563931	120.569942585330864	Baguio City	447824	272714
-6.183306051766181	35.750003620147652	Dodoma	218269	180541
46.916682758667719	7.466975462482424	Bern	275329	121631
27.149982319135461	-13.200005942222674	Laayoune	188084	176365
42.666709614119384	21.165984251599866	Pristina	465186	198214
15.301015644283325	-61.387012981803366	Roseau	23336	16571
11.595014464255485	43.148001667052256	Djibouti	923000	604013
2.914019794624551	101.701946979786499	Putrajaya	67964	50000
35.031938146855623	135.748052065320394	Kyoto	1805000	1459640
13.453876460315939	-16.591701489212596	Banjul	43094	34589
42.000006122905859	21.4334614651425	Skopje	494087	474889
13.10200258275114	-59.616526735051593	Bridgetown	191152	96578
6.483310973024231	2.61662552756718	Porto-Novo	300000	234168
-3.376087220374643	29.360006061528395	Bujumbura	331700	331700
13.14827882786841	-61.212062420279324	Kingstown	49485	24518
14.001973489330339	-61.000008180369548	Castries	37963	10634
17.302030455489387	-62.717009319699343	Basseterre	21887	15500
-20.166638571353246	57.499993854609727	Port Louis	595491	148416
12.052633401720414	-61.741643226074757	Saint George's	33734	27343
26.236136290485945	50.583051715910187	Manama	563920	157474
17.118036518314113	-61.850033815138659	Saint John's	35499	24226
-34.856095707590725	-56.172998147035969	Montevideo	1513000	5324
6.133882930268385	1.22081126074562	Lome	1452000	749700
36.802778136231439	10.179678099212026	Tunis	2412500	728453
24.466683572379907	54.366593382591986	Abu Dhabi	603492	560230
37.949994933110986	58.383299111774647	Ashgabat	727700	577982
-15.414698409335926	28.28138173611427	Lusaka	1328000	1267440
-17.815843835777798	31.042763572062825	Harare	1572000	1542813
-8.559388408546454	125.57945593170507	Dili	234331	193563
-17.733350404025828	168.316640583568642	Port Vila	44040	35901
14.103990759076396	-87.219475197941506	Tegucigalpa	946000	850848
6.801973692752028	-58.167028647480606	Georgetown	264350	235017
64.150023619739216	-21.950014487179544	Reykjav k	166212	113906
18.542970454732369	-72.337980446905533	Port-au-Prince	1998000	1234742
0.318604813383331	32.581377667121046	Kampala	1420000	1353189
5.835030129922586	-55.167030885424367	Paramaribo	254169	223757
13.518651810506469	2.114710186530374	Niamey	915000	742791
38.560035216316578	68.773879352701726	Dushanbe	1086244	679400
-25.294457117057675	-57.643451027901335	Asuncion	1870000	11693
12.154962438756115	-86.27043751890119	Managua	920000	920000
8.471957271098177	-13.236161599012746	Freetown	827000	13768
33.701941808959589	73.164688621059554	Islamabad	780000	601600
27.718637772477223	85.314696352227884	Kathmandu	895000	895000
-29.119993877378704	26.22991288117737	Bloemfontein	463064	456669
-25.704974695184433	28.227483217233839	Pretoria	1338000	1338000
-9.464707825867777	147.192503620593584	Port Moresby	283733	251136
-9.437994295089595	159.949765733605659	Honiara	76328	56298
8.969963049094872	-79.53498301041077	Panama City	1281000	408168
34.025307311072822	-6.83640815612614	Rabat	1705000	1655753
47.005023619670624	28.857711139651428	Chisinau	688134	635994
-25.953331628778983	32.58721710397009	Maputo	1446000	1191613
2.068627192947531	45.364731752458738	Mogadishu	1100000	875388
23.613324807728134	58.593312132608844	Muscat	734697	586861
6.931965758182116	79.857750609256414	Colombo	217000	217000
47.918619258560739	106.914669903746528	Ulaanbaatar	885000	769612
-22.570006084383806	17.08354610054181	Windhoek	268132	262796
9.085279007754195	7.53138214293233	Abuja	1576000	162135
11.865023822980561	-15.598360841320755	Bissau	403339	388028
31.951971105827454	35.931354066874121	Amman	1060000	1060000
54.683366311758618	25.3166352932829	Vilnius	542366	507029
56.950023823160961	24.099965371403187	Riga	742572	705033
42.875025305090105	74.583258363903667	Bishkek	837000	804212
-29.316674378681626	27.483273069984477	Maseru	361324	118355
-18.914691492032148	47.514678041529862	Antananarivo	1697000	1391433
-0.213042322035562	-78.501996967112404	Quito	1701000	1399814
9.936958288356607	-84.085997211275355	San Jose	1284000	1724
13.711947505494038	-89.204987079459897	San Salvador	1433000	2807
17.977076623830897	-76.767433713669107	Kingston	937700	664973
12.115042394810644	15.047202455462298	Ndjamena	989000	681387
3.750015278026183	8.783277545821136	Malabo	155963	155963
15.333339252681924	38.933323525759306	Asmara	620802	563930
45.800006733272539	15.999994668245677	Zagreb	722526	698966
59.433877379485921	24.72804072947855	Tallinn	394024	340027
-13.983295065469179	33.783301959983532	Lilongwe	646750	646750
14.623080521448173	-90.528911436561543	Guatemala	1024000	994938
0.385388609718518	9.457965045823698	Libreville	578156	483355
-18.133015931371233	178.441707315379858	Suva	175399	88271
-33.045818607974184	-71.622959491498932	Valparaiso	854000	15938
18.086427021247516	-15.975340414890013	Nouakchott	742144	661400
12.651960526323251	-8.001984963249697	Bamako	1494000	1297281
33.873920975626902	35.507762351377664	Beirut	1846000	1712125
41.726955847077591	44.788849590997984	Tbilisi	1100000	1005257
51.181125304257591	71.427774209483005	Astana	345604	325021
17.96669272762739	102.59998002015476	Vientiane	754000	570348
-4.257239913197509	15.282743633848668	Brazzaville	1355000	1163890
9.533468705021789	-13.682180886123945	Conakry	1494000	1494000
6.818380960004617	-5.275502564912301	Yamoussoukro	206499	194530
45.418642655360429	-75.701961159809514	Ottawa	1145000	812129
44.820591304446737	20.466044822020535	Belgrade	1099000	1099000
4.883331114619239	114.933284056662274	Bandar Seri Begawan	296500	140000
-19.040970846739469	-65.259515626675636	Sucre	224838	221736
17.252033507246892	-88.767072999816548	Belmopan	15220	13381
4.366644306349087	18.558288125287277	Bangui	831925	622771
3.868646520754112	11.514704896854425	Yaounde	1611000	1060587
41.327540709491586	19.81888301461521	Tirana	895350	421286
40.183096594141887	44.511605531752082	Yerevan	1102000	1093485
40.397217891343018	49.860271303257775	Baku	2122300	1892000
11.551975988558411	104.914688621186428	Phnom Penh	1466000	1466000
-16.496027755043372	-68.151931049102188	La Paz	1590000	812799
6.401954422782467	2.518044740568598	Cotonou	762000	690584
42.685295283930543	23.314708152110086	Sofia	1185000	874827
53.901923295043105	27.56468129665825	Minsk	1805000	1577138
27.472985859175765	89.639014037029995	Thimphu	98676	79185
-24.646313457438907	25.911947793285378	Gaborone	208411	159243
-35.283028545372076	149.129026244299212	Canberra	327700	234032
12.372261836543373	-1.526669614916443	Ouagadougou	1149000	835457
43.850022398954934	18.383001666953305	Sarajevo	696731	628902
19.768502884750148	96.116672670630351	Naypyidaw	930000	194824
-21.138512356698641	-175.220564477616563	Nukualofa	42620	23658
9.56002239881775	44.065310016665421	Hargeysa	477876	247018
-4.6166316539734	55.449989785591129	Victoria	33576	22881
0.333402118832907	6.733325153234773	Sao Tome	88219	56166
-13.841545042448445	-171.73864160860316	Apia	61916	37708
35.899732481930869	14.514710651312782	Valletta	368250	6966
4.1667081898118	73.499947467954996	Male	112927	103693
31.778407815573303	35.206625934598662	Jerusalem	1029300	801000
14.916698017328656	-23.516688884972211	Praia	113364	88859
25.083390115351222	-77.350043784276124	Nassau	227940	160966
35.166676451654496	33.366634886414147	Nicosia	224300	200452
21.035273107737055	105.848068341242197	Hanoi	4378000	1431270
39.929184444075474	32.862445782356644	Ankara	3716000	3307379
47.501952184991353	19.081374818759684	Budapest	1679000	1679000
15.356679154263645	44.204647523938434	Sanaa	2008000	1835853
44.435317663494573	26.098000795350401	Bucharest	1942000	1742194
33.501979854206127	36.298050030417073	Damascus	2466000	2466000
38.724668736487843	-9.14681216410213	Lisbon	2812000	517802
15.590024084277673	32.532233380011576	Khartoum	4754000	1974647
59.918636145001869	10.748033347372314	Oslo	835000	580000
52.251946488395561	20.998053692465305	Warsaw	1707000	1702139
39.021384558004343	125.752744854993921	Pyongyang	3300000	2498797
-6.798066736124383	39.266395977694572	Dar es Salaam	2930000	2698652
53.335006994584944	-6.250851540391068	Dublin	1059000	968976
6.314581647160139	-10.799660436775923	Monrovia	1041000	785662
3.168611730712371	101.698037416746445	Kuala Lumpur	1448000	1448000
23.1339046995422	-82.366128029953302	Havana	2174000	1990917
50.08528287347832	14.464033917048539	Prague	1162000	2087
29.371663488629565	47.976355287625267	Kuwait	2063000	60064
18.472018713195382	-69.902030943315026	Santo Domingo	2154000	2873
5.551980464445933	-0.218661598960693	Accra	2121000	1963264
32.89250001935369	13.180011758078194	Tripoli	2189000	229398
32.081937333041651	34.768065899551743	Tel Aviv-Yafo	3112000	378358
60.17750923256807	24.932180482845581	Helsinki	1115000	558457
55.680510049025941	12.561539888703294	Kdbenhavn	1085000	1085000
5.321942826098564	-4.041994118507091	Abidjan	3802000	3190395
-15.781394372878992	-47.917998147003061	Brasilia	3716996	2562963
50.83526293533032	4.33137074969045	Brussels	1743000	1019022
23.725005570312817	90.406633608107541	Dhaka	12797394	7000940
-8.836340255012658	13.23248118266855	Luanda	5172900	1951272
36.765010656628135	3.048606670909237	Algiers	3354000	1977663
16.785299963188777	96.164731752661851	Rangoon	4088000	3301820
10.502944413033333	-66.918983051050418	Caracas	2985000	1815679
50.435313187607221	30.514682110472165	Kiev	2709000	1662508
41.313647741607213	69.292986960887788	Tashkent	2184000	1978028
40.401972123113808	-3.685297544612524	Madrid	5567000	50437
59.35270581286585	18.095388874180912	Stockholm	1264000	1253309
13.751945064087977	100.51469879369489	Bangkok	6704000	5104476
-12.046066817525571	-77.052007953434725	Lima	8012000	6758234
14.717777583623274	-17.475075987050559	Dakar	2604000	2476400
-26.16809888138414	28.028063865019476	Johannesburg	3435000	2026469
52.351914546664432	4.914694317400972	Amsterdam	1031000	741636
37.568294958388947	126.997785138201948	Seoul	9796000	9796000
14.606104813440538	120.980271303542395	Manila	11100000	3077575
52.523764522251156	13.399602764700546	Berlin	3406000	3094014
-4.327778243275986	15.313026023171744	Kinshasa	7843000	5565703
28.600023009245433	77.199980020053033	New Delhi	317797	317797
37.985272090552257	23.731375225679358	Athens	3242000	729137
33.340594356158647	44.391922914564134	Baghdad	5054000	5054000
9.035256221295754	38.698058575348682	Addis Ababa	3100000	2757729
35.673888627001304	51.422398175008993	Tehran	7873000	7153309
-34.600555749907414	-58.399477232331435	Buenos Aires	12795000	10929146
34.518636144900313	69.181314190705052	Kabul	3277000	3043532
48.201961136816863	16.364693096743736	Vienna	2400000	1731000
25.035833333333301	121.568333333333001	Taipei	6900273	2618772
38.901495235087054	-77.011364439437159	"Washington, D.C."	4338000	552433
51.5019405883275	-0.118667702475932	London	8567000	7421209
24.642779007816443	46.770795798688255	Riyadh	4465000	4205961
-33.918065108628753	18.433042299226031	Cape Town	3215000	2432858
55.754109981248178	37.613576967271399	Moscow	10452000	10452000
19.444388301415472	-99.132934060293906	Mexico City	19028000	10811002
6.445207512093191	3.389585212598433	Lagos	9466000	1536
41.897901485098942	12.481312562873995	Rome	3339000	35452
39.930838089909059	116.386339825659434	Beijing	11106000	7480601
-1.281400883237779	36.814711000471448	Nairobi	3010000	2750547
-6.172471846798885	106.827491762470117	Jakarta	9125000	8540121
4.598369421147822	-74.085289813774409	Bogota	7772000	6333661
30.051906205103705	31.248022361126118	Cairo	11893000	7734614
35.686962764371174	139.749461570544668	Tokyo	35676000	8336599
48.868638789814611	2.33138946713035	Paris	9904000	11177
-33.448067956934096	-70.668986713174831	Santiago	5720000	46611
1.294979325105942	103.853874819099019	Singapore	5183700	3289529
-41.299987853691732	174.783265859281897	Wellington	393400	393400
